epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,118.885,6.76026,0.0011,0.00438,6.69836,4.33033e-06,4.33033e-06,4.33033e-06
2,220.985,6.69126,0.0011,0.00657,6.58893,6.93266e-06,6.93266e-06,6.93266e-06
3,321.37,6.61416,0.00329,0.02191,6.49248,7.8034e-06,7.8034e-06,7.8034e-06
4,421.02,6.55108,0.01205,0.04162,6.41229,5.2078e-06,5.2078e-06,5.2078e-06
5,520.444,6.51006,0.01314,0.05476,6.34996,2.6104e-06,2.6104e-06,2.6104e-06
