epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,107.297,6.76026,0.0011,0.00438,6.69836,4.33033e-06,4.33033e-06,4.33033e-06
2,209.557,6.68612,0.0011,0.00986,6.57065,8.23091e-06,8.23091e-06,8.23091e-06
3,309.597,6.58816,0.00767,0.03286,6.42149,1.16986e-05,1.16986e-05,1.16986e-05
4,410.038,6.48165,0.023,0.07448,6.26151,1.10519e-05,1.10519e-05,1.10519e-05
5,513.792,6.35822,0.04381,0.16539,5.98058,1.04026e-05,1.04026e-05,1.04026e-05
6,612.749,6.17329,0.12377,0.29354,5.68091,9.75325e-06,9.75325e-06,9.75325e-06
7,711.069,5.9557,0.19825,0.41183,5.3231,9.1039e-06,9.1039e-06,9.1039e-06
8,810.609,5.74214,0.26616,0.52136,4.95762,8.45455e-06,8.45455e-06,8.45455e-06
9,912.62,5.51318,0.32421,0.59474,4.48939,7.8052e-06,7.8052e-06,7.8052e-06
10,1015.12,5.27873,0.38554,0.66265,4.22667,7.15585e-06,7.15585e-06,7.15585e-06
11,1118.02,5.0682,0.43154,0.7437,3.92934,6.5065e-06,6.5065e-06,6.5065e-06
12,1219.82,4.86756,0.47426,0.77656,3.68122,5.85715e-06,5.85715e-06,5.85715e-06
13,1319.69,4.69003,0.50712,0.80394,3.45923,5.2078e-06,5.2078e-06,5.2078e-06
14,1424.15,4.53644,0.55422,0.83899,3.29619,4.55845e-06,4.55845e-06,4.55845e-06
15,1523.9,4.40635,0.57941,0.86199,3.10587,3.9091e-06,3.9091e-06,3.9091e-06
16,1624.14,4.27672,0.60131,0.86418,2.97363,3.25975e-06,3.25975e-06,3.25975e-06
17,1724.57,4.209,0.61227,0.86747,2.91495,2.6104e-06,2.6104e-06,2.6104e-06
18,1824.71,4.13019,0.63089,0.88499,2.82251,1.96105e-06,1.96105e-06,1.96105e-06
19,1926.96,4.09342,0.62432,0.8828,2.7433,1.3117e-06,1.3117e-06,1.3117e-06
20,2028.46,4.05266,0.63527,0.88828,2.72286,6.6235e-07,6.6235e-07,6.6235e-07
