epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,404.603,6.17538,0.14963,0.15335,6.26991,4.33165e-06,4.33165e-06,4.33165e-06
2,799.945,4.75214,0.15149,0.16357,6.13862,7.79935e-06,7.79935e-06,7.79935e-06
3,1182.17,4.44387,0.15149,0.18494,6.10761,1.04013e-05,1.04013e-05,1.04013e-05
4,1562.32,4.36083,0.15149,0.22955,5.93356,9.1039e-06,9.1039e-06,9.1039e-06
5,1943.49,4.27599,0.15149,0.2974,5.77137,7.8052e-06,7.8052e-06,7.8052e-06
6,2327.93,4.19172,0.15149,0.37918,5.62691,6.5065e-06,6.5065e-06,6.5065e-06
7,2710.83,4.10628,0.15149,0.43773,5.48558,5.2078e-06,5.2078e-06,5.2078e-06
8,3094.36,4.03847,0.15149,0.4842,5.33697,3.9091e-06,3.9091e-06,3.9091e-06
9,3479.58,3.97932,0.15149,0.51766,5.28553,2.6104e-06,2.6104e-06,2.6104e-06
10,3869.87,3.9388,0.15149,0.54182,5.22876,1.3117e-06,1.3117e-06,1.3117e-06
